paragraph,punctuation,cluster
— 1 —,—  —,10
中华人民共和国数据安全法,,0
（2021 年 6 月 10 日第十三届全国人民代表大会常,（     ,3
务委员会第二十九次会议通过）,）,3
目,,6
录,,6
第一章,,6
总则,,6
第二章,,6
数据安全与发展,,0
第三章,,6
数据安全制度,,6
第四章,,6
数据安全保护义务,,6
第五章,,6
政务数据安全与开放,,0
第六章,,6
法律责任,,6
第七章,,6
附则,,6
第一章,,6
总则,,6
第一条,,6
为了规范数据处理活动，保障数据安全，促进数,，，,11
据开发利用，保护个人、组织的合法权益，维护国家主权、,，、，、,8
安全和发展利益，制定本法。,，。,8
第二条,,6
在中华人民共和国境内开展数据处理活动及其,,0
安全监管，适用本法。,，。,8
— 2 —,—  —,10
在中华人民共和国境外开展数据处理活动，损害中华人民,，,5
共和国国家安全、公共利益或者公民、组织合法权益的，依,、、，,2
法追究法律责任。,。,1
第三条,,6
本法所称数据，是指任何以电子或者其他方式对,，,5
信息的记录。,。,1
数据处理，包括数据的收集、存储、使用、加工、传输、,，、、、、、,8
提供、公开等。,、。,2
数据安全，是指通过采取必要措施，确保数据处于有效保,，，,11
护和合法利用的状态，以及具备保障持续安全状态的能力。,，。,8
第四条,,6
维护数据安全，应当坚持总体国家安全观，建立,，，,11
健全数据安全治理体系，提高数据安全保障能力。,，。,8
第五条,,6
中央国家安全领导机构负责国家数据安全工作,,0
的决策和议事协调，研究制定、指导实施国家数据安全战略,，、,8
和有关重大方针政策，统筹协调国家数据安全的重大事项和,，,5
重要工作，建立国家数据安全工作协调机制。,，。,8
第六条,,6
各地区、各部门对本地区、本部门工作中收集和,、、,7
产生的数据及数据安全负责。,。,1
工业、电信、交通、金融、自然资源、卫生健康、教育、,、、、、、、、,7
科技等主管部门承担本行业、本领域数据安全监管职责。,、。,2
公安机关、国家安全机关等依照本法和有关法律、行政法,、、,7
规的规定，在各自职责范围内承担数据安全监管职责。,，。,8
— 3 —,—  —,10
国家网信部门依照本法和有关法律、行政法规的规定，负,、，,2
责统筹协调网络数据安全和相关监管工作。,。,1
第七条,,6
国家保护个人、组织与数据有关的权益，鼓励数,、，,2
据依法合理有效利用，保障数据依法有序自由流动，促进以,，，,11
数据为关键要素的数字经济发展。,。,1
第八条,,6
开展数据处理活动，应当遵守法律、法规，尊重,，、，,2
社会公德和伦理，遵守商业道德和职业道德，诚实守信，履,，，，,5
行数据安全保护义务，承担社会责任，不得危害国家安全、,，，、,8
公共利益，不得损害个人、组织的合法权益。,，、。,2
第九条,,6
国家支持开展数据安全知识宣传普及，提高全社,，,5
会的数据安全保护意识和水平，推动有关部门、行业组织、,，、、,7
科研机构、企业、个人等共同参与数据安全保护工作，形成,、、，,2
全社会共同维护数据安全和促进发展的良好环境。,。,1
第十条,,6
相关行业组织按照章程，依法制定数据安全行为,，,5
规范和团体标准，加强行业自律，指导会员加强数据安全保,，，,11
护，提高数据安全保护水平，促进行业健康发展。,，，。,8
第十一条,,6
国家积极开展数据安全治理、数据开发利用等,、,4
领域的国际交流与合作，参与数据安全相关国际规则和标准,，,5
的制定，促进数据跨境安全、自由流动。,，、。,2
第十二条,,6
任何个人、组织都有权对违反本法规定的行为,、,4
向有关主管部门投诉、举报。收到投诉、举报的部门应当及,、。、,7
时依法处理。,。,1
— 4 —,—  —,10
有关主管部门应当对投诉、举报人的相关信息予以保密，,、，,2
保护投诉、举报人的合法权益。,、。,2
第二章,,6
数据安全与发展,,0
第十三条,,6
国家统筹发展和安全，坚持以数据开发利用和,，,5
产业发展促进数据安全，以数据安全保障数据开发利用和产,，,5
业发展。,。,1
第十四条,,6
国家实施大数据战略，推进数据基础设施建,，,5
设，鼓励和支持数据在各行业、各领域的创新应用。,，、。,2
省级以上人民政府应当将数字经济发展纳入本级国民经,,0
济和社会发展规划，并根据需要制定数字经济发展规划。,，。,8
第十五条,,6
国家支持开发利用数据提升公共服务的智能,,0
化水平。提供智能化公共服务，应当充分考虑老年人、残疾,。，、,8
人的需求，避免对老年人、残疾人的日常生活造成障碍。,，、。,2
第十六条,,6
